"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000156671",1569.57,0.5674845,0.1535223,3.696431,0.0002186521,0.003024188,"SAMD8"
"ENSG00000116128",491.6661,-0.6318017,0.1709341,-3.696171,0.0002188755,0.003024516,"BCL9"
"ENSG00000163430",70639.84,0.8215323,0.2222912,3.695748,0.0002192401,0.003026792,"FSTL1"
"ENSG00000076716",469.0008,0.9815351,0.2656569,3.694747,0.000220106,0.00303598,"GPC4"
"ENSG00000164985",1662.622,-0.403831,0.1093427,-3.69326,0.0002213975,0.003051015,"PSIP1"
"ENSG00000103257",449.9331,-1.143826,0.3100139,-3.689595,0.000224611,0.003092485,"SLC7A5"
"ENSG00000165675",355.9288,0.6325172,0.1714878,3.688409,0.0002256609,0.003104118,"ENOX2"
"ENSG00000275066",507.8264,-0.5310251,0.144057,-3.686215,0.0002276137,0.003128139,"SYNRG"
"ENSG00000169902",1960.491,-0.5191921,0.1408568,-3.685956,0.0002278456,0.003128487,"TPST1"
"ENSG00000080815",1800.451,0.5037491,0.136719,3.684559,0.0002290986,0.003142842,"PSEN1"
"ENSG00000149289",402.3381,0.5813575,0.157813,3.683837,0.0002297495,0.003148919,"ZC3H12C"
"ENSG00000148219",231.0831,-0.5863692,0.1591972,-3.683288,0.0002302449,0.003152856,"ASTN2"
"ENSG00000103150",316.539,0.7171233,0.1947324,3.68261,0.0002308584,0.003158402,"MLYCD"
"ENSG00000071127",9848.713,0.7279315,0.197731,3.681424,0.0002319353,0.003170271,"WDR1"
"ENSG00000153879",384.4297,-0.6096734,0.1656196,-3.681167,0.0002321686,0.003170598,"CEBPG"
"ENSG00000100099",645.5964,-0.4461569,0.1213231,-3.677427,0.0002355986,0.003209585,"HPS4"
"ENSG00000103365",1235.154,-0.6209693,0.1688627,-3.677361,0.0002356592,0.003209585,"GGA2"
"ENSG00000174944",22.08871,1.601099,0.4353828,3.677452,0.0002355753,0.003209585,"P2RY14"
"ENSG00000152990",654.419,-0.7853384,0.2136346,-3.676082,0.0002368438,0.00322282,"ADGRA3"
"ENSG00000167702",376.2914,0.761801,0.2073772,3.673504,0.0002392473,0.003252604,"KIFC2"
"ENSG00000121621",33.3583,-1.287973,0.3507577,-3.671975,0.0002406836,0.003263341,"KIF18A"
"ENSG00000145041",639.1719,0.4170158,0.1135636,3.672089,0.0002405755,0.003263341,"DCAF1"
"ENSG00000148339",361.3822,0.5079362,0.1383164,3.672277,0.0002403992,0.003263341,"SLC25A25"
"ENSG00000119673",411.4041,0.7869823,0.2145031,3.668862,0.0002436321,0.003300365,"ACOT2"
"ENSG00000160072",277.5737,0.4979634,0.1357943,3.667043,0.0002453711,0.003320953,"ATAD3B"
"ENSG00000166997",521.9889,-0.4801671,0.1309945,-3.665551,0.0002468062,0.003337392,"CNPY4"
"ENSG00000196116",344.2458,0.4944903,0.1349379,3.664577,0.0002477479,0.003347138,"TDRD7"
"ENSG00000197905",116.7856,0.8490062,0.2317253,3.663848,0.0002484542,0.003353689,"TEAD4"
"ENSG00000169032",1340.822,0.4369532,0.1193166,3.662133,0.000250124,0.003370433,"MAP2K1"
"ENSG00000169359",889.5651,0.38629,0.1054827,3.662117,0.0002501397,0.003370433,"SLC33A1"
"ENSG00000105402",1977.679,0.3648166,0.09962865,3.661764,0.0002504842,0.003372074,"NAPA"
"ENSG00000115828",346.6775,1.130846,0.3093026,3.656116,0.0002560656,0.003444151,"QPCT"
"ENSG00000072121",1060.091,-0.5202336,0.1423151,-3.655506,0.0002566754,0.00344929,"ZFYVE26"
"ENSG00000148396",2669.366,0.269747,0.07381842,3.654196,0.0002579887,0.003463864,"SEC16A"
"ENSG00000106123",925.2175,1.499607,0.4107402,3.650986,0.0002612357,0.003501253,"EPHB6"
"ENSG00000139173",174.5952,-0.6359114,0.1741682,-3.651133,0.0002610862,0.003501253,"TMEM117"
"ENSG00000101290",2135.739,0.6338621,0.1736292,3.650665,0.0002615626,0.003502534,"CDS2"
"ENSG00000128594",22.26385,-1.983571,0.5437821,-3.647732,0.0002645653,0.003539613,"LRRC4"
"ENSG00000060138",4860.56,0.4619716,0.1266624,3.647266,0.0002650452,0.003542903,"YBX3"
"ENSG00000113721",20585.82,0.3982573,0.1092144,3.646564,0.0002657699,0.003549458,"PDGFRB"
"ENSG00000064393",2644.133,0.6067302,0.1664473,3.645179,0.0002672054,0.003562346,"HIPK2"
"ENSG00000170854",491.3517,-0.50686,0.1390462,-3.645263,0.000267118,0.003562346,"RIOX2"
"ENSG00000173545",528.2565,0.3603442,0.09886339,3.64487,0.0002675271,0.003563499,"ZNF622"
"ENSG00000282883",912.81,-0.7623295,0.2092834,-3.642571,0.0002699282,0.003592322,NA
"ENSG00000171033",252.0469,-1.378821,0.3786973,-3.640958,0.0002716251,0.003611731,"PKIA"
"ENSG00000277288",13.66125,-1.810777,0.4982079,-3.63458,0.0002784337,0.003699016,"C10orf142"
